Equip Id,Line Id,start date,radius username,,,SOUP MAC,SOUP Model
11666,9971,4/29/2010 18:00,6463914212@tsp17.sprintpcs.com,622730,Systech 7310,0080440E3097,IPG/7310
11732,10216,5/3/2010 18:00,3124378444@uscc.net,624458,Systech 7310,0080440E1F8B,IPG/7310
11756,10343,5/9/2010 18:00,4046158483@vzw3g.com,613865,Systech 7310VE,0080440E07AE,IPG/7310
11785,10001,4/29/2010 18:00,3124371492@uscc.net,607607,Systech 7310,0080440E16ED,IPG/7310
11797,9965,4/29/2010 18:00,3123888765@uscc.net,642725,Systech 7310,0080440DE19A,IPG/7310
11876,12030,6/24/2010 18:00,3124376259@uscc.net,616255,Systech 7310,0080440E33E5,IPG/7310
12087,11429,6/10/2010 18:00,3126711312@uscc.net,629555,Systech 7310,0080440E56F3,IPG/7310
12224,9813,4/29/2010 18:00,3126711637@uscc.net,626692,Systech 7310,0080440DE98D,IPG/7310
12312,10693,5/24/2010 18:00,3122172236@uscc.net,614275,Systech 7310,0080440E0807,IPG/7310
12330,10533,5/18/2010 18:00,6462419185@tsp17.sprintpcs.com,645794,Systech 7310CS,0080440E2A75,IPG/7310
12391,11133,5/27/2010 18:00,3124376603@uscc.net,620426,Systech 7310,0080440E2C66,IPG/7310
12454,10710,5/24/2010 18:00,3124377723@uscc.net,622003,Systech 7310,0080440DEFD5,IPG/7310
12461,11176,5/31/2010 18:00,6465443388@tsp17.sprintpcs.com,627826,Systech 7710CS,0080440E596E,IPG/7710
12475,10010,4/29/2010 18:00,3122171493@uscc.net,643167,Systech 7310,0080440DE162,IPG/7310
12503,11125,5/27/2010 18:00,3126712313@uscc.net,642316,Systech 7310,0080440DDB20,IPG/7310
13387,13860,9/16/2010 18:00,3126711241@uscc.net,624291,Systech 7310,0080440E35F6,IPG/7310
13420,13907,9/16/2010 18:00,3126711316@uscc.net,641727,Systech 7310,0080440DCA06,IPG/7310
13459,12150,6/29/2010 18:00,3126711359@uscc.net,614259,Systech 7310,0080440E093E,IPG/7310
13527,12109,6/28/2010 18:00,3123885709@uscc.net,618504,Systech 7310,0080440E2B93,IPG/7310
13728,12589,7/19/2010 18:00,3122179323@uscc.net,643522,Systech 7310,0080440DE012,IPG/7310
13871,22175,9/8/2011 18:00,3126711174@uscc.net,621909,Systech 7310,0080440DEF5B,IPG/7310
14617,13959,9/19/2010 18:00,3126711267@uscc.net,606159,Systech 7310,0080440DCF71,IPG/7310
14711,20149,6/13/2011 18:00,9172722608@tsp17.sprintpcs.com,673338,Systech 7710CS,0080440EF622,IPG/7710
14739,11025,5/26/2010 18:00,3125467989@uscc.net,615767,Systech 7310,0080440E354D,IPG/7310
14873,12756,7/29/2010 18:00,3126711276@uscc.net,616354,Systech 7310,0080440E3389,IPG/7310
15030,11595,6/15/2010 18:00,3123887812@uscc.net,642890,Systech 7310,0080440DD2C4,IPG/7310
15205,10776,5/25/2010 18:00,3124377932@uscc.net,621145,Systech 7310,0080440DEDF2,IPG/7310
15660,16661,1/13/2011 17:00,3124378537@uscc.net,624385,Systech 7310,0080440DF600,IPG/7310
15683,17027,2/1/2011 17:00,3126711353@uscc.net,607934,Systech 7310,0080440E06DB,IPG/7310
16124,7152,1/13/2010 17:00,6462410806@tsp17.sprintpcs.com,645768,Systech 7310CS,0080440E2A87,IPG/7310
16124,41871,5/14/2015 18:00,3124377105@uscc.net,641117,Systech 7310,0080440DD138,IPG/7310
16124,9092,4/11/2010 18:00,9172430903@tsp17.sprintpcs.com,680978,Systech 7710CS,0080440EEC81,IPG/7710
16163,13791,9/14/2010 18:00,3124371196@uscc.net,606424,Systech 7310,0080440DF71D,IPG/7310
16268,14082,9/19/2010 18:00,3125460287@uscc.net,613465,Systech 7310,0080440E09D3,IPG/7310
16588,14994,10/17/2010 18:00,3123888535@uscc.net,613371,Systech 7310,0080440E19EB,IPG/7310
17034,16274,12/22/2010 17:00,3122172592@uscc.net,614236,Systech 7310,0080440E07E7,IPG/7310
17091,14991,10/17/2010 18:00,3126711376@uscc.net,642555,Systech 7310,0080440DE18E,IPG/7310
18689,16247,12/21/2010 17:00,3124372750@uscc.net,622793,Systech 7310,0080440DF052,IPG/7310
18813,16191,12/21/2010 17:00,3125467562@uscc.net,641622,Systech 7310,0080440DDA9B,IPG/7310
19578,32144,12/6/2012 17:00,3126711186@uscc.net,607422,Systech 7310,0080440E1095,IPG/7310
19610,8966,3/30/2010 18:00,3126711178@uscc.net,613723,Systech 7310,0080440E1908,IPG/7310
19662,43838,7/27/2016 18:00,3126711385@uscc.net,798989,Systech 7310,0080440FF09A,IPG/7310
19668,33397,3/7/2013 17:00,3126711394@uscc.net,798961,Systech 7310,0080440FF070,IPG/7310
19674,44667,3/1/2017 17:00,3126711404@uscc.net,799042,Systech 7310,0080440FF348,IPG/7310
19677,43845,7/27/2016 18:00,3126711408@uscc.net,798960,Systech 7310,0080440FF06F,IPG/7310
19685,43451,5/3/2016 18:00,3126711423@uscc.net,798986,Systech 7310,0080440FF090,IPG/7310
19687,43844,7/27/2016 18:00,3126711430@uscc.net,798982,Systech 7310,0080440FF08C,IPG/7310
19693,44659,3/1/2017 17:00,3126711437@uscc.net,799115,Systech 7310,0080440FF189,IPG/7310
19696,41848,5/12/2015 18:00,3126711443@uscc.net,798971,Systech 7310,0080440FF081,IPG/7310
19701,44657,3/1/2017 17:00,3126711452@uscc.net,799035,Systech 7310,0080440FF34A,IPG/7310
19702,43843,7/27/2016 18:00,3126711453@uscc.net,798966,Systech 7310,0080440FF07D,IPG/7310
19704,43841,7/27/2016 18:00,3126711458@uscc.net,798983,Systech 7310,0080440FF08D,IPG/7310
19705,44046,9/14/2016 18:00,3126711459@uscc.net,798968,Systech 7310,0080440FF073,IPG/7310
19705,43855,7/31/2016 18:00,3126711512@uscc.net,799008,Systech 7310,0080440FF0AD,IPG/7310
19706,41845,5/12/2015 18:00,3126711462@uscc.net,798969,Systech 7310,0080440FF07F,IPG/7310
19712,43452,5/3/2016 18:00,3126711475@uscc.net,799037,Systech 7310,0080440FF177,IPG/7310
19713,43856,7/31/2016 18:00,3126711476@uscc.net,798938,Systech 7310,0080440FF058,IPG/7310
19717,43842,7/27/2016 18:00,3126711485@uscc.net,798991,Systech 7310,0080440FF0A2,IPG/7310
19719,43914,8/15/2016 18:00,3126711487@uscc.net,798994,Systech 7310,0080440FF09D,IPG/7310
19722,43857,7/31/2016 18:00,3126711491@uscc.net,798972,Systech 7310,0080440FF082,IPG/7310
19724,43840,7/27/2016 18:00,3126711494@uscc.net,798964,Systech 7310,0080440FF07B,IPG/7310
19728,41868,5/13/2015 18:00,3126711509@uscc.net,798992,Systech 7310,0080440FF09B,IPG/7310
19738,6242,12/3/2009 17:00,3126711530@uscc.net,799041,Systech 7310,0080440FF13F,IPG/7310
19739,43839,7/27/2016 18:00,3126711531@uscc.net,798963,Systech 7310,0080440FF07A,IPG/7310
19741,44658,3/1/2017 17:00,3126711533@uscc.net,799032,Systech 7310,0080440FF349,IPG/7310
19752,43837,7/27/2016 18:00,3126711548@uscc.net,798965,Systech 7310,0080440FF07C,IPG/7310
19753,43846,7/27/2016 18:00,3126711549@uscc.net,798959,Systech 7310,0080440FF06E,IPG/7310
19755,41869,5/13/2015 18:00,3126711552@uscc.net,798993,Systech 7310,0080440FF09C,IPG/7310
19756,44660,3/1/2017 17:00,3126711554@uscc.net,799050,Systech 7310,0080440FF181,IPG/7310
19757,43053,2/2/2016 17:00,3126711556@uscc.net,799058,Systech 7310,0080440FF341,IPG/7310
19759,43847,7/27/2016 18:00,3126711558@uscc.net,798984,Systech 7310,0080440FF08E,IPG/7310
19908,44664,3/1/2017 17:00,3126711796@uscc.net,799062,Systech 7310,0080440FF18A,IPG/7310
20662,20914,7/5/2011 18:00,3124373787@uscc.net,621245,Systech 7310,0080440DF2B7,IPG/7310
20730,20908,7/5/2011 18:00,3129962659@uscc.net,627092,Systech 7310,0080440DEAD5,IPG/7310
23814,20379,6/28/2011 18:00,9172664946@tsp18.sprintpcs.com,681545,Systech 7710CS,0080440E9CAC,IPG/7710
24808,23295,10/6/2011 18:00,9172611355@tsp18.sprintpcs.com,676834,Systech 7700CS,0080440EEF48,IPG/7700
31508,31025,10/10/2012 18:00,4047822476@vzw3g.com,761000,Systech 8100EVE,008044101FB1,IPG/8100E
32390,32206,12/11/2012 17:00,4049383110@vzw3g.com,756529,Systech 8100EVE,008044100EE5,IPG/8100E
32983,33139,2/13/2013 17:00,5662072655@tsp18.sprintpcs.com,777110,Systech 8100ESP,0080441071EF,IPG/8100E
33616,33859,4/2/2013 18:00,4045487333@vzw3g.com,773840,Systech 8110EVE,008044106E96,IPG/8110E
33642,33872,4/2/2013 18:00,4045487348@vzw3g.com,773895,Systech 8110EVE,008044106D7F,IPG/8110E
34086,22939,9/26/2011 18:00,5662102261@tsp17.sprintpcs.com,751668,Systech 7710CS,00804410055F,IPG/7710
34308,34593,4/29/2013 18:00,5774827819@tsp17.sprintpcs.com,770224,Systech 8110ESP,00804410634A,IPG/8110E
35198,35400,7/7/2013 18:00,5668563981@tsp18.sprintpcs.com,887286,Systech 8110ESP,00804411A708,IPG/8110E
35214,35612,7/25/2013 18:00,5339384686@tsp18.sprintpcs.com,779855,Systech 8110ESP,008044108DA1,IPG/8110E
35702,35765,8/14/2013 18:00,4047803802@vzw3g.com,789922,Systech 8110EVE,00804410B03B,IPG/8110E
35795,42495,8/24/2015 18:00,5339381789@tsp18.sprintpcs.com,765505,Systech 8110ESP,0080441028A1,IPG/8110E
36109,35367,6/30/2013 18:00,5665290626@tsp18.sprintpcs.com,767053,Systech 8100ESP,0080440FE418,IPG/8100E
36193,36168,10/10/2013 18:00,4046552492@vzw3g.com,607703,Systech 7310,0080440E1751,IPG/7310
36195,36183,10/13/2013 18:00,4046837062@vzw3g.com,621616,Systech 7310,0080440DF25D,IPG/7310
36196,36273,10/24/2013 18:00,4046832220@vzw3g.com,614003,Systech 7310,0080440E05C7,IPG/7310
36452,36197,10/13/2013 18:00,4046236488@vzw3g.com,791598,Systech 8100EVE,008044109C20,IPG/8100E
36558,36276,10/27/2013 18:00,5666912354@tsp17.sprintpcs.com,779840,Sprint CFE,008044108D8D,IPG/8110E
36559,36277,10/27/2013 18:00,5666912368@tsp17.sprintpcs.com,779834,Sprint CFE,008044108D91,IPG/8110E
36560,36278,10/27/2013 18:00,5666912370@tsp17.sprintpcs.com,779862,Sprint CFE,008044108DA5,IPG/8110E
36561,36279,10/27/2013 18:00,5666914010@tsp17.sprintpcs.com,779939,Systech 8110ESP,008044108952,IPG/8110E
40100,40769,1/21/2015 17:00,4046953649@vzw3g.com,862054,Systech 8100EVE,0080441134BF,IPG/8100E
