Serial Number,ESN,Static IP Address,Location ID,Model ,Connection Status,Last Connected Timestamp,Confirm Connection 4/24,Username
642355,F6158BF5,10.56.52.166,TD235626,Systech 7310,Active,2/7/2018 2:58,NO,3123888523@uscc.net
642180,F6158BFB,10.56.52.173,TD230878,Systech 7310,Active,1/17/2018 2:09,NO,3123888562@uscc.net
642443,F6158BFD,10.56.52.175,TD230198,Systech 7310,Active,No connections in last 3 months,NO,3123888567@uscc.net
642363,F6158C04,10.56.52.179,TL003620,Systech 7310,Active,No connections in last 3 months,NO,3123888573@uscc.net
642455,F6158BBC,10.56.52.185,TD230245,Systech 7310,Active,No connections in last 3 months,NO,3123888605@uscc.net
642427,F6158BA2,10.56.52.187,CI011942,Systech 7310,Active,No connections in last 3 months,NO,3123888614@uscc.net
642277,F6158BC4,10.56.52.188,CI012123,Systech 7310,Active,No connections in last 3 months,NO,3123888618@uscc.net
642182,F6158BE7,10.56.52.190,TD226119,Systech 7310,Active,1/24/2018 0:39,NO,3123888624@uscc.net
642452,F6158BEC,10.56.52.194,,Systech 7310,Active,No connections in last 3 months,NO,3123888632@uscc.net
642136,F6158BE8,10.56.52.197,TD230578,Systech 7310,Active,No connections in last 3 months,NO,3123888637@uscc.net
642327,F6158C0D,10.56.52.199,TD230181,Systech 7310,Active,No connections in last 3 months,NO,3123888639@uscc.net
642276,F6158BD9,10.56.52.201,CI006279,Systech 7310,Active,No connections in last 3 months,NO,3123888641@uscc.net
642456,F6158BD1,10.56.52.202,,Systech 7310,Active,No connections in last 3 months,NO,3123888644@uscc.net
642280,F6158BD8,10.56.52.204,TD228350,Systech 7310,Active,No connections in last 3 months,NO,3123888649@uscc.net
641890,F6158BDB,10.56.57.91,,Systech 7310,Active,No connections in last 3 months,NO,3124370962@uscc.net
642173,F6158BDD,10.56.52.208,TD239557,Systech 7310,Active,No connections in last 3 months,NO,3123888661@uscc.net
642364,F6158BE9,10.56.52.214,TD229427,Systech 7310,Active,No connections in last 3 months,NO,3123888683@uscc.net
642374,F6158BFA,10.56.52.216,CI012135,Systech 7310,Active,No connections in last 3 months,NO,3123888689@uscc.net
642378,F6158C16,10.56.52.218,TD230758,Systech 7310,Active,2/2/2018 15:50,NO,3123888694@uscc.net
642373,F6158C11,10.56.52.219,TD230769,Systech 7310,Active,3/7/2018 8:55,NO,3123888695@uscc.net
642420,F6158B6B,10.56.52.222,TD229660,Systech 7310,Active,No connections in last 3 months,NO,3123888699@uscc.net
642306,F6158B58,10.56.52.225,TD231154,Systech 7310,Active,No connections in last 3 months,NO,3123888707@uscc.net
642359,F6158B41,10.56.88.139,,Systech 7310,Active,No connections in last 3 months,NO,3123888711@uscc.net
642416,F6158B19,10.56.52.228,TD230773,Systech 7310,Active,No connections in last 3 months,NO,3123888714@uscc.net
642323,F6158B33,10.56.52.231,TD230233,Systech 7310,Active,No connections in last 3 months,NO,3123888717@uscc.net
642404,F6158B35,10.56.52.232,TD229301,Systech 7310,Active,No connections in last 3 months,NO,3123888722@uscc.net
642412,F6158B34,10.56.52.234,,Systech 7310,Active,No connections in last 3 months,NO,3123888726@uscc.net
642242,F6158BA7,10.56.52.236,,Systech 7310,Active,No connections in last 3 months,NO,3123888731@uscc.net
642292,F6158B9B,10.56.52.237,TD229675,Systech 7310,Active,No connections in last 3 months,NO,3123888739@uscc.net
642418,F6158B44,10.56.52.238,TD229724,Systech 7310,Active,No connections in last 3 months,NO,3123888741@uscc.net
642314,F6158B42,10.56.52.240,CI011955,Systech 7310,Active,No connections in last 3 months,NO,3123888745@uscc.net
642724,F6158A24,10.56.56.29,,Systech 7310,Active,12/13/2017 22:29,NO,3123888768@uscc.net
642819,F6158A4D,10.56.52.245,TD230317,Systech 7310,Active,No connections in last 3 months,NO,3123888775@uscc.net
642362,F6158B47,10.56.52.247,CI011956,Systech 7310,Active,No connections in last 3 months,NO,3123888785@uscc.net
642437,F6158B55,10.56.52.248,TD230631,Systech 7310,Active,No connections in last 3 months,NO,3123888789@uscc.net
642409,F6158B4C,10.56.52.250,CI012122,Systech 7310,Active,No connections in last 3 months,NO,3123888794@uscc.net
642413,F6158B54,10.56.52.252,CI011965,Systech 7310,Active,No connections in last 3 months,NO,3123888796@uscc.net
642244,F6158B84,10.56.52.253,TD230191,Systech 7310,Active,No connections in last 3 months,NO,3123888797@uscc.net
642432,F6158B80,10.56.52.254,TD232475,Systech 7310,Active,2/25/2018 15:31,NO,3123888798@uscc.net
642430,F6158B57,10.56.53.2,TD228237,Systech 7310,Active,No connections in last 3 months,NO,3123888825@uscc.net
642290,F6158C05,10.56.53.3,TD229666,Systech 7310,Active,1/25/2018 17:13,NO,3123888856@uscc.net
642222,F6158B40,10.56.53.4,,Systech 7310,Active,No connections in last 3 months,NO,3123888863@uscc.net
642235,F6158B98,10.56.53.6,TD230238,Systech 7310,Active,No connections in last 3 months,NO,3123888879@uscc.net
642400,F6158B6D,10.56.53.10,TD230606,Systech 7310,Active,No connections in last 3 months,NO,3123888908@uscc.net
642401,F6158B65,10.56.53.14,TD239151,Systech 7310,Active,No connections in last 3 months,NO,3123888915@uscc.net
642315,F6158BA9,10.56.53.16,TD230668,Systech 7310,Active,No connections in last 3 months,NO,3123888923@uscc.net
642224,F6158BA5,10.56.53.18,TD230234,Systech 7310,Active,No connections in last 3 months,NO,3123888927@uscc.net
642312,F6158B82,10.56.53.21,TD230666,Systech 7310,Active,1/30/2018 16:43,NO,3123888935@uscc.net
642414,F6158B94,10.56.53.22,TD230242,Systech 7310,Active,No connections in last 3 months,NO,3123888936@uscc.net
642411,F6158B88,10.56.53.24,CI011967,Systech 7310,Active,No connections in last 3 months,NO,3123888939@uscc.net
642428,F6158B9A,10.56.53.25,TD236257,Systech 7310,Active,No connections in last 3 months,NO,3123888941@uscc.net
642219,F6158B89,10.56.53.29,,Systech 7310,Active,No connections in last 3 months,NO,3123888953@uscc.net
642402,F6158B8D,10.56.53.30,TD229300,Systech 7310,Active,No connections in last 3 months,NO,3123888954@uscc.net
642308,F61588DA,10.56.53.36,TD230098,Systech 7310,Active,No connections in last 3 months,NO,3123888971@uscc.net
642393,F61588E5,10.56.53.38,TD230798,Systech 7310,Active,No connections in last 3 months,NO,3123888974@uscc.net
642387,F6157BBC,10.56.53.41,TD233160,Systech 7310,Active,No connections in last 3 months,NO,3123888977@uscc.net
642397,F6157D19,10.56.53.43,TD229284,Systech 7310,Active,No connections in last 3 months,NO,3123888984@uscc.net
642343,F6157BB5,10.56.53.47,TD230588,Systech 7310,Active,3/1/2018 4:45,NO,3123888990@uscc.net
642352,F6157BC2,10.56.53.48,TD229722,Systech 7310,Active,2/26/2018 15:58,NO,3123888992@uscc.net
642399,F6157BB7,10.56.53.50,TD230310,Systech 7310,Active,No connections in last 3 months,NO,3123888996@uscc.net
642354,F6157D1A,10.56.53.51,TD237483,Systech 7310,Active,No connections in last 3 months,NO,3123889025@uscc.net
642382,F6157BC4,10.56.53.52,CI011959,Systech 7310,Active,No connections in last 3 months,NO,3123889027@uscc.net
642215,F6158A3C,10.56.53.66,,Systech 7310,Active,No connections in last 3 months,NO,3123889064@uscc.net
643016,F6158A2D,10.56.53.68,,Systech 7310,Active,No connections in last 3 months,NO,3123889067@uscc.net
642009,F6158A63,10.56.53.69,TD229736,Systech 7310,Active,No connections in last 3 months,NO,3123889073@uscc.net
642035,F6158A6E,10.56.53.76,CI013375,Systech 7310,Active,No connections in last 3 months,NO,3123889095@uscc.net
643010,F6158A7D,10.56.56.63,TD229676,Systech 7310,Active,No connections in last 3 months,NO,3123889103@uscc.net
642005,F61589C4,10.56.53.87,TD230492,Systech 7310,Active,2/16/2018 12:10,NO,3123889152@uscc.net
642265,F61589CF,10.56.53.90,CI011963,Systech 7310,Active,No connections in last 3 months,NO,3123889169@uscc.net
643011,F61589DA,10.56.56.71,,Systech 7310,Active,No connections in last 3 months,NO,3123889175@uscc.net
642028,F61589E0,10.56.53.96,TD229357,Systech 7310,Active,No connections in last 3 months,NO,3123889194@uscc.net
641973,F6158A0D,10.56.53.105,TD233148,Systech 7310,Active,No connections in last 3 months,NO,3123889223@uscc.net
642031,F6158A16,10.56.53.107,CI012328,Systech 7310,Active,No connections in last 3 months,NO,3123889239@uscc.net
642220,F6158A1A,10.56.53.109,TD230225,Systech 7310,Active,No connections in last 3 months,NO,3123889247@uscc.net
642256,F6158AF3,10.56.53.111,TD230699,Systech 7310,Active,No connections in last 3 months,NO,3123889250@uscc.net
642271,F6158B4D,10.56.53.114,CI010970,Systech 7310,Active,No connections in last 3 months,NO,3123889254@uscc.net
642270,F6158AEC,10.56.53.117,TD230652,Systech 7310,Active,No connections in last 3 months,NO,3123889262@uscc.net
642193,F6158B01,10.56.53.118,TD230675,Systech 7310,Active,No connections in last 3 months,NO,3123889269@uscc.net
642204,F61589C9,10.56.53.130,TD230297,Systech 7310,Active,No connections in last 3 months,NO,3123889346@uscc.net
642214,F61589D4,10.56.53.134,TD228300,Systech 7310,Active,No connections in last 3 months,NO,3123889360@uscc.net
642058,F61589D8,10.56.53.135,TD228363,Systech 7310,Active,No connections in last 3 months,NO,3123889367@uscc.net
642070,F61589DD,10.56.53.138,TD239556,Systech 7310,Active,No connections in last 3 months,NO,3123889370@uscc.net
642197,F61589DE,10.56.53.140,CI011970,Systech 7310,Active,No connections in last 3 months,NO,3123889373@uscc.net
642066,F6158AF4,10.56.53.144,CI013419,Systech 7310,Active,No connections in last 3 months,NO,3123889385@uscc.net
642258,F6158B2B,10.56.53.148,CI012140,Systech 7310,Active,No connections in last 3 months,NO,3123889397@uscc.net
642190,F6158B11,10.56.53.150,TD230706,Systech 7310,Active,No connections in last 3 months,NO,3123889401@uscc.net
642075,F6158AFF,10.56.53.152,,Systech 7310,Active,No connections in last 3 months,NO,3123889406@uscc.net
642206,F6158B4E,10.56.53.153,TD233162,Systech 7310,Active,No connections in last 3 months,NO,3123889410@uscc.net
642023,F6158B27,10.56.53.155,TD238761,Systech 7310,Active,No connections in last 3 months,NO,3123889413@uscc.net
642040,F6158B25,10.56.53.160,TD230169,Systech 7310,Active,No connections in last 3 months,NO,3123889429@uscc.net
642255,F6158BB8,10.56.52.15,CI013600,Systech 7310,Active,No connections in last 3 months,NO,3123887034@uscc.net
642947,F6158CC6,10.56.52.19,TD239923,Systech 7310,Active,No connections in last 3 months,NO,3123887052@uscc.net
642869,F6158D37,10.56.56.91,,Systech 7310,Active,No connections in last 3 months,NO,3123887099@uscc.net
642936,F6158D17,10.56.56.90,,Systech 7310,Active,No connections in last 3 months,NO,3123887102@uscc.net
642929,F6158D1E,10.56.56.99,,Systech 7310,Active,No connections in last 3 months,NO,3123887107@uscc.net
642723,F6157D2D,10.56.56.31,,Systech 7310,Active,1/15/2018 6:57,NO,3123889047@uscc.net
642694,F6157D2F,10.56.53.63,TD229040,Systech 7310,Active,No connections in last 3 months,NO,3123889057@uscc.net
642781,F6157D32,10.56.53.64,TX38667,Systech 7310,Active,2/2/2018 10:02,NO,3123889059@uscc.net
642692,F6157D59,10.56.53.67,TD235791,Systech 7310,Active,No connections in last 3 months,NO,3123889065@uscc.net
642763,F6157D39,10.56.53.125,CI008876,Systech 7310,Active,No connections in last 3 months,NO,3123889079@uscc.net
642742,F6157D3A,10.56.56.74,,Systech 7310,Active,3/7/2018 10:14,NO,3123889082@uscc.net
642771,F6157D3E,10.56.53.77,TD230463,Systech 7310,Active,No connections in last 3 months,NO,3123889097@uscc.net
642743,F6158D68,10.56.56.84,,Systech 7310,Active,No connections in last 3 months,NO,3123889140@uscc.net
642644,F6158D87,10.56.53.119,TD236737,Systech 7310,Active,No connections in last 3 months,NO,3123889285@uscc.net
642719,F6158D89,10.56.56.5,,Systech 7310,Active,No connections in last 3 months,NO,3123889304@uscc.net
642739,F6158D85,10.56.53.216,TD230855,Systech 7310,Active,No connections in last 3 months,NO,3125467268@uscc.net
642690,F6158D8E,10.56.56.32,,Systech 7310,Active,2/21/2018 13:52,NO,3123889336@uscc.net
642720,F6158D76,10.56.53.133,TD230286,Systech 7310,Active,No connections in last 3 months,NO,3123889359@uscc.net
642865,F6158D24,10.56.53.137,TD227966,Systech 7310,Active,12/26/2017 15:03,NO,3123889369@uscc.net
642680,F616FCA2,10.56.57.198,,Systech 7310,Active,No connections in last 3 months,NO,3126711297@uscc.net
642871,F6158D43,10.56.52.12,CI008531,Systech 7310,Active,No connections in last 3 months,NO,3123887019@uscc.net
642707,F6158D0A,10.56.56.33,,Systech 7310,Active,No connections in last 3 months,NO,3123887138@uscc.net
642579,F6158C44,10.56.56.73,TD230907,Systech 7310,Active,3/8/2018 3:05,NO,3123887159@uscc.net
642577,F6158C89,10.56.56.64,TD229678,Systech 7310,Active,No connections in last 3 months,NO,3123887162@uscc.net
643021,F6158C40,10.56.52.34,TD230177,Systech 7310,Active,No connections in last 3 months,NO,3123887163@uscc.net
642995,F6158C1A,10.56.56.86,,Systech 7310,Active,2/27/2018 14:11,NO,3123887164@uscc.net
642950,F6158C3A,10.56.52.35,TD230275,Systech 7310,Active,No connections in last 3 months,NO,3123887167@uscc.net
643038,F6158C52,10.56.52.36,TD229647,Systech 7310,Active,No connections in last 3 months,NO,3123887168@uscc.net
642975,F6158C7A,10.56.52.42,TD230316,Systech 7310,Active,No connections in last 3 months,NO,3123887197@uscc.net
642971,F6158C5A,10.56.52.46,TD230178,Systech 7310,Active,No connections in last 3 months,NO,3123887231@uscc.net
642698,F6158C65,10.56.53.42,,Systech 7310,Active,No connections in last 3 months,NO,3124377275@uscc.net
642544,F6158C8B,10.56.56.57,,Systech 7310,Active,No connections in last 3 months,NO,3123887261@uscc.net
643026,F6158C84,10.56.52.51,TD237714,Systech 7310,Active,No connections in last 3 months,NO,3123887267@uscc.net
642547,F6158C90,10.56.56.61,,Systech 7310,Active,No connections in last 3 months,NO,3123887271@uscc.net
621792,F610B46A,10.81.1.154,,Systech 7310,Active,No connections in last 3 months,NO,4046838417@vzw3g.com
642575,F6158C95,10.56.56.88,,Systech 7310,Active,No connections in last 3 months,NO,3123887279@uscc.net
621370,F612DD09,10.80.2.108,,Systech 7310,Active,2/13/2018 9:21,NO,4046158555@vzw3g.com
798864,F61353E0,10.81.104.4,,Systech 7310,Active,No connections in last 3 months,NO,4046158547@vzw3g.com
642564,F6158C93,10.56.56.50,,Systech 7310,Active,No connections in last 3 months,NO,3123887297@uscc.net
642955,F6158C98,10.56.52.54,TD233637,Systech 7310,Active,No connections in last 3 months,NO,3123887302@uscc.net
642552,F6158CAE,10.56.54.167,CI011966,Systech 7310,Active,No connections in last 3 months,NO,3123887305@uscc.net
626948,F612DCDC,10.81.104.2,,Systech 7310,Active,No connections in last 3 months,NO,4046158554@vzw3g.com
607429,F612DC60,10.81.0.166,,Systech 7310,Active,No connections in last 3 months,NO,4046158553@vzw3g.com
642468,F6158A2E,10.56.54.168,TD228410,Systech 7310,Active,No connections in last 3 months,NO,3123887324@uscc.net
642493,F6158A66,10.56.52.58,TD230516,Systech 7310,Active,1/24/2018 17:15,NO,3123887331@uscc.net
642674,F6158D65,10.56.52.60,TD230028,Systech 7310,Active,No connections in last 3 months,NO,3123887341@uscc.net
642804,F6158D64,10.56.52.62,TD230682,Systech 7310,Active,No connections in last 3 months,NO,3123887353@uscc.net
642818,F6158D7F,10.56.52.68,TD236554,Systech 7310,Active,No connections in last 3 months,NO,3123887372@uscc.net
642709,F6158CD1,10.56.54.170,TD228376,Systech 7310,Active,1/16/2018 3:46,NO,3123887384@uscc.net
642704,F6158CC7,10.56.52.72,TD228372,Systech 7310,Active,No connections in last 3 months,NO,3123887395@uscc.net
642703,F6158CBA,10.56.52.74,TD230282,Systech 7310,Active,No connections in last 3 months,NO,3123887398@uscc.net
642986,F6158CB6,10.56.52.76,CI006280,Systech 7310,Active,No connections in last 3 months,NO,3123887402@uscc.net
643074,F6158CB8,10.56.52.77,CI006287,Systech 7310,Active,No connections in last 3 months,NO,3123887403@uscc.net
642638,F6158C8C,10.56.52.80,TD230258,Systech 7310,Active,No connections in last 3 months,NO,3123887412@uscc.net
642640,F6158CAB,10.56.52.81,TD230495,Systech 7310,Active,No connections in last 3 months,NO,3123887426@uscc.net
642621,F6158CB0,10.56.56.81,,Systech 7310,Active,No connections in last 3 months,NO,3123887433@uscc.net
643041,F6158CDA,10.56.52.83,TD236544,Systech 7310,Active,No connections in last 3 months,NO,3123887449@uscc.net
642985,F6158CC1,10.56.52.85,TD230256,Systech 7310,Active,2/24/2018 15:48,NO,3123887454@uscc.net
642760,F6158CD8,10.56.52.88,TD230511,Systech 7310,Active,2/8/2018 17:39,NO,3123887480@uscc.net
642750,F6158CF4,10.56.52.93,TD237870,Systech 7310,Active,No connections in last 3 months,NO,3123887485@uscc.net
642756,F6158CE6,10.56.52.94,CI006598,Systech 7310,Active,No connections in last 3 months,NO,3123887491@uscc.net
643062,F6158CE9,10.56.56.51,,Systech 7310,Active,12/27/2017 10:39,NO,3123887494@uscc.net
643053,F6158CD7,10.56.56.96,,Systech 7310,Active,No connections in last 3 months,NO,3123887495@uscc.net
643059,F6158CE1,10.56.52.97,TD230257,Systech 7310,Active,No connections in last 3 months,NO,3123887504@uscc.net
642717,F6158D04,10.56.52.100,TD230174,Systech 7310,Active,No connections in last 3 months,NO,3123887513@uscc.net
642632,F6158D00,10.56.54.144,,Systech 7310,Active,No connections in last 3 months,NO,3123887516@uscc.net
643069,F6158CED,10.56.53.215,TD229287,Systech 7310,Active,No connections in last 3 months,NO,3125467252@uscc.net
643044,F6158CF3,10.56.52.104,CI005663,Systech 7310,Active,No connections in last 3 months,NO,3123887538@uscc.net
642630,F6158D02,10.56.52.106,TD228404,Systech 7310,Active,No connections in last 3 months,NO,3123887543@uscc.net
642745,F6158D08,10.56.52.107,TD230314,Systech 7310,Active,2/19/2018 14:21,NO,3123887549@uscc.net
642490,F6158A4F,10.56.52.108,TD228320,Systech 7310,Active,No connections in last 3 months,NO,3123887562@uscc.net
642475,F6158A73,10.56.52.109,TD231318,Systech 7310,Active,No connections in last 3 months,NO,3123887567@uscc.net
642537,F6158A35,10.56.54.172,CI013698,Systech 7310,Active,No connections in last 3 months,NO,3123887574@uscc.net
642483,F6157B6E,10.56.54.173,,Systech 7310,Active,No connections in last 3 months,NO,3125467248@uscc.net
642498,F6157B9E,10.56.52.115,TD230412,Systech 7310,Active,No connections in last 3 months,NO,3123887627@uscc.net
642502,F6157D37,10.56.56.77,,Systech 7310,Active,1/9/2018 10:34,NO,3123887632@uscc.net
642528,F6157D4C,10.56.56.70,TD229462,Systech 7310,Active,No connections in last 3 months,NO,3123887641@uscc.net
642532,F6157D5B,10.56.54.148,,Systech 7310,Active,No connections in last 3 months,NO,3123887642@uscc.net
642521,F6157D5D,10.56.54.150,,Systech 7310,Active,No connections in last 3 months,NO,3123887652@uscc.net
642583,F6158A52,10.56.56.97,,Systech 7310,Active,No connections in last 3 months,NO,3123887668@uscc.net
642472,F6158A6F,10.56.54.152,,Systech 7310,Active,No connections in last 3 months,NO,3123887654@uscc.net
642615,F6158A19,10.56.52.119,TD230231,Systech 7310,Active,No connections in last 3 months,NO,3123887683@uscc.net
642617,F6158A67,10.56.52.120,TD238354,Systech 7310,Active,1/9/2018 4:14,NO,3123887689@uscc.net
642613,F6158A6A,10.56.52.122,TD230277,Systech 7310,Active,No connections in last 3 months,NO,3123887723@uscc.net
642802,F61588C8,10.56.52.127,TD226121,Systech 7310,Active,No connections in last 3 months,NO,3123887754@uscc.net
642788,F61588BE,10.56.52.128,TD239920,Systech 7310,Active,No connections in last 3 months,NO,3123887757@uscc.net
642827,F61588D5,10.56.52.129,TD228414,Systech 7310,Active,No connections in last 3 months,NO,3123887758@uscc.net
642785,F61588C0,10.56.52.134,CI013598,Systech 7310,Active,No connections in last 3 months,NO,3123887783@uscc.net
642882,F61588E1,10.56.52.139,TD239916,Systech 7310,Active,No connections in last 3 months,NO,3123887803@uscc.net
642823,F6158C26,10.56.52.141,,Systech 7310,Active,No connections in last 3 months,NO,3123887813@uscc.net
642797,F6158C41,10.56.52.143,CI012133,Systech 7310,Active,No connections in last 3 months,NO,3123887816@uscc.net
