username,ip_address,acct_start_time,acct_stop_time
4705327154@vzw3g.com,10.81.139.47, 2017-12-05 15:38:50+00 , 2017-12-05 21:34:11+00
4705327154@vzw3g.com,10.81.139.47, 2017-12-05 15:06:26+00 , 2017-12-05 15:37:27+00
4705327154@vzw3g.com,10.81.139.47, 2017-12-05 15:00:54+00 , 2017-12-05 15:04:27+00

4705327174@vzw3g.com,10.81.139.32, 2018-05-27 23:31:40+00 , 2018-05-28 16:52:29+00
4705327174@vzw3g.com,10.81.139.32, 2018-05-14 13:50:37+00 , 2018-05-28 00:22:57+00
4705327174@vzw3g.com,10.81.139.32, 2018-05-08 23:26:57+00 , 2018-05-14 12:38:37+00
4705327174@vzw3g.com,10.81.139.32, 2018-03-17 03:31:49+00 , 2018-03-21 10:04:15+00
4705327174@vzw3g.com,10.81.139.32, 2018-03-17 01:52:07+00 , 2018-03-17 03:09:50+00

4707171054@vzw3g.com,10.81.139.64, 2017-12-22 15:37:52+00 , 2017-12-22 16:48:28+00
4707171054@vzw3g.com,10.87.255.47, 2017-12-15 23:16:33+00 , 2017-12-16 00:16:12+00


